Cliente,Tempo FOG,Tempo RSync,Tempo
C1,00:06:26,00:01:46,00:08:12
C2,00:06:26,00:01:46,00:08:12
C3,00:06:27,00:01:46,00:08:13
C4,00:06:27,00:01:46,00:08:13
C5,00:06:24,00:01:46,00:08:10
C6,00:06:26,00:01:46,00:08:12
C7,00:06:22,00:01:46,00:08:08
C8,00:06:25,00:01:46,00:08:11
C9,00:06:21,00:01:46,00:08:07
C10,00:06:22,00:01:46,00:08:08
C1,00:06:26,00:01:44,00:08:10
C2,00:06:26,00:01:44,00:08:10
C3,00:06:27,00:01:44,00:08:11
C4,00:06:27,00:01:44,00:08:11
C5,00:06:24,00:01:44,00:08:08
C6,00:06:26,00:01:44,00:08:10
C7,00:06:22,00:01:44,00:08:06
C8,00:06:25,00:01:44,00:08:09
C9,00:06:21,00:01:44,00:08:05
C10,00:06:22,00:01:44,00:08:06
C1,00:06:26,00:01:46,00:08:12
C2,00:06:26,00:01:46,00:08:12
C3,00:06:27,00:01:46,00:08:13
C4,00:06:27,00:01:46,00:08:13
C5,00:06:24,00:01:46,00:08:10
C6,00:06:26,00:01:46,00:08:12
C7,00:06:21,00:01:46,00:08:07
C8,00:06:25,00:01:46,00:08:11
C9,00:06:21,00:01:46,00:08:07
C10,00:06:22,00:01:46,00:08:08
C1,00:06:26,00:01:54,00:08:20
C2,00:06:26,00:01:54,00:08:20
C3,00:06:27,00:01:54,00:08:21
C4,00:06:27,00:01:54,00:08:21
C5,00:06:24,00:01:54,00:08:18
C6,00:06:26,00:01:54,00:08:20
C7,00:06:22,00:01:54,00:08:16
C8,00:06:25,00:01:54,00:08:19
C9,00:06:21,00:01:54,00:08:15
C10,00:06:22,00:01:54,00:08:16
C1,00:06:26,00:01:46,00:08:12
C2,00:06:26,00:01:46,00:08:12
C3,00:06:27,00:01:46,00:08:13
C4,00:06:27,00:01:46,00:08:13
C5,00:06:24,00:01:46,00:08:10
C6,00:06:26,00:01:46,00:08:12
C7,00:06:22,00:01:46,00:08:08
C8,00:06:21,00:01:46,00:08:07
C9,00:06:21,00:01:46,00:08:07
C10,00:06:22,00:01:46,00:08:08
C1,00:06:26,00:01:46,00:08:12
C2,00:06:26,00:01:46,00:08:12
C3,00:06:27,00:01:46,00:08:13
C4,00:06:27,00:01:46,00:08:13
C5,00:06:24,00:01:46,00:08:10
C6,00:06:26,00:01:46,00:08:12
C7,00:06:22,00:01:46,00:08:08
C8,00:06:25,00:01:46,00:08:11
C9,00:06:21,00:01:46,00:08:07
C10,00:06:21,00:01:46,00:08:07
C1,00:06:26,00:01:44,00:08:10
C2,00:06:26,00:01:44,00:08:10
C3,00:06:27,00:01:44,00:08:11
C4,00:06:27,00:01:44,00:08:11
C5,00:06:24,00:01:44,00:08:08
C6,00:06:26,00:01:44,00:08:10
C7,00:06:22,00:01:44,00:08:06
C8,00:06:25,00:01:44,00:08:09
C9,00:06:21,00:01:44,00:08:05
C10,00:06:22,00:01:44,00:08:06
C1,00:06:26,00:01:44,00:08:10
C2,00:06:26,00:01:44,00:08:10
C3,00:06:27,00:01:44,00:08:11
C4,00:06:27,00:01:44,00:08:11
C5,00:06:24,00:01:44,00:08:08
C6,00:06:26,00:01:44,00:08:10
C7,00:06:22,00:01:44,00:08:06
C8,00:06:25,00:01:44,00:08:09
C9,00:06:21,00:01:44,00:08:05
C10,00:06:22,00:01:44,00:08:06
C1,00:06:26,00:01:44,00:08:10
C2,00:06:21,00:01:44,00:08:05
C3,00:06:27,00:01:44,00:08:11
C4,00:06:27,00:01:44,00:08:11
C5,00:06:24,00:01:44,00:08:08
C6,00:06:26,00:01:44,00:08:10
C7,00:06:22,00:01:44,00:08:06
C8,00:06:25,00:01:44,00:08:09
C9,00:06:21,00:01:44,00:08:05
C10,00:06:22,00:01:44,00:08:06
C1,00:06:26,00:01:46,00:08:12
C2,00:06:21,00:01:46,00:08:07
C3,00:06:27,00:01:46,00:08:13
C4,00:06:27,00:01:46,00:08:13
C5,00:06:24,00:01:46,00:08:10
C6,00:06:26,00:01:46,00:08:12
C7,00:06:22,00:01:46,00:08:08
C8,00:06:25,00:01:46,00:08:11
C9,00:06:21,00:01:46,00:08:07
C10,00:06:22,00:01:46,00:08:08
C1,00:06:26,00:01:45,00:08:11
C2,00:06:26,00:01:45,00:08:11
C3,00:06:27,00:01:45,00:08:12
C4,00:06:27,00:01:45,00:08:12
C5,00:06:24,00:01:45,00:08:09
C6,00:06:26,00:01:45,00:08:11
C7,00:06:22,00:01:45,00:08:07
C8,00:06:25,00:01:45,00:08:10
C9,00:06:21,00:01:45,00:08:06
C10,00:06:21,00:01:45,00:08:06
C1,00:06:26,00:01:46,00:08:12
C2,00:06:26,00:01:46,00:08:12
C3,00:06:27,00:01:46,00:08:13
C4,00:06:27,00:01:46,00:08:13
C5,00:06:24,00:01:46,00:08:10
C6,00:06:26,00:01:46,00:08:12
C7,00:06:22,00:01:46,00:08:08
C8,00:06:25,00:01:46,00:08:11
C9,00:06:21,00:01:46,00:08:07
C10,00:06:22,00:01:46,00:08:08
C1,00:06:26,00:01:45,00:08:11
C2,00:06:26,00:01:45,00:08:11
C3,00:06:26,00:01:45,00:08:11
C4,00:06:27,00:01:45,00:08:12
C5,00:06:24,00:01:45,00:08:09
C6,00:06:26,00:01:45,00:08:11
C7,00:06:21,00:01:45,00:08:06
C8,00:06:25,00:01:45,00:08:10
C9,00:06:21,00:01:45,00:08:06
C10,00:06:22,00:01:45,00:08:07
C1,00:06:26,00:01:45,00:08:11
C2,00:06:26,00:01:45,00:08:11
C3,00:06:27,00:01:45,00:08:12
C4,00:06:26,00:01:45,00:08:11
C5,00:06:24,00:01:45,00:08:09
C6,00:06:26,00:01:45,00:08:11
C7,00:06:22,00:01:45,00:08:07
C8,00:06:25,00:01:45,00:08:10
C9,00:06:21,00:01:45,00:08:06
C10,00:06:22,00:01:45,00:08:07
C1,00:06:21,00:01:45,00:08:06
C2,00:06:26,00:01:45,00:08:11
C3,00:06:27,00:01:45,00:08:12
C4,00:06:27,00:01:45,00:08:12
C5,00:06:24,00:01:45,00:08:09
C6,00:06:26,00:01:45,00:08:11
C7,00:06:22,00:01:45,00:08:07
C8,00:06:26,00:01:45,00:08:11
C9,00:06:21,00:01:45,00:08:06
C10,00:06:22,00:01:45,00:08:07
C1,00:06:26,00:01:45,00:08:11
C2,00:06:26,00:01:45,00:08:11
C3,00:06:27,00:01:45,00:08:12
C4,00:06:27,00:01:45,00:08:12
C5,00:06:24,00:01:45,00:08:09
C6,00:06:26,00:01:45,00:08:11
C7,00:06:22,00:01:45,00:08:07
C8,00:06:25,00:01:45,00:08:10
C9,00:06:21,00:01:45,00:08:06
C10,00:06:22,00:01:45,00:08:07
C1,00:06:26,00:01:45,00:08:11
C2,00:06:26,00:01:45,00:08:11
C3,00:06:27,00:01:45,00:08:12
C4,00:06:27,00:01:45,00:08:12
C5,00:06:24,00:01:45,00:08:09
C6,00:06:26,00:01:45,00:08:11
C7,00:06:26,00:01:45,00:08:11
C8,00:06:25,00:01:45,00:08:10
C9,00:06:21,00:01:45,00:08:06
C10,00:06:22,00:01:45,00:08:07
C1,00:06:26,00:01:44,00:08:10
C2,00:06:26,00:01:44,00:08:10
C3,00:06:27,00:01:44,00:08:11
C4,00:06:27,00:01:44,00:08:11
C5,00:06:24,00:01:44,00:08:08
C6,00:06:26,00:01:44,00:08:10
C7,00:06:22,00:01:44,00:08:06
C8,00:06:25,00:01:44,00:08:09
C9,00:06:21,00:01:44,00:08:05
C10,00:06:22,00:01:44,00:08:06
C1,00:06:26,00:01:45,00:08:11
C2,00:06:26,00:01:45,00:08:11
C3,00:06:27,00:01:45,00:08:12
C4,00:06:26,00:01:45,00:08:11
C5,00:06:26,00:01:45,00:08:11
C6,00:06:26,00:01:45,00:08:11
C7,00:06:22,00:01:45,00:08:07
C8,00:06:25,00:01:45,00:08:10
C9,00:06:21,00:01:45,00:08:06
C10,00:06:22,00:01:45,00:08:07
C1,00:06:21,00:01:45,00:08:06
C2,00:06:26,00:01:45,00:08:11
C3,00:06:27,00:01:45,00:08:12
C4,00:06:27,00:01:45,00:08:12
C5,00:06:24,00:01:45,00:08:09
C6,00:06:26,00:01:45,00:08:11
C7,00:06:22,00:01:45,00:08:07
C8,00:06:26,00:01:45,00:08:11
C9,00:06:21,00:01:45,00:08:06
C10,00:06:22,00:01:45,00:08:07
C1,00:06:26,00:01:45,00:08:11
C2,00:06:26,00:01:45,00:08:11
C3,00:06:27,00:01:45,00:08:12
C4,00:06:27,00:01:45,00:08:12
C5,00:06:24,00:01:45,00:08:09
C6,00:06:21,00:01:45,00:08:06
C7,00:06:22,00:01:45,00:08:07
C8,00:06:25,00:01:45,00:08:10
C9,00:06:21,00:01:45,00:08:06
C10,00:06:22,00:01:45,00:08:07
C1,00:06:26,00:01:45,00:08:11
C2,00:06:26,00:01:45,00:08:11
C3,00:06:27,00:01:45,00:08:12
C4,00:06:26,00:01:45,00:08:11
C5,00:06:24,00:01:45,00:08:09
C6,00:06:26,00:01:45,00:08:11
C7,00:06:22,00:01:45,00:08:07
C8,00:06:25,00:01:45,00:08:10
C9,00:06:21,00:01:45,00:08:06
C10,00:06:22,00:01:45,00:08:07
C1,00:06:26,00:01:45,00:08:11
C2,00:06:26,00:01:45,00:08:11
C3,00:06:27,00:01:45,00:08:12
C4,00:06:27,00:01:45,00:08:12
C5,00:06:24,00:01:45,00:08:09
C6,00:06:26,00:01:45,00:08:11
C7,00:06:22,00:01:45,00:08:07
C8,00:06:21,00:01:45,00:08:06
C9,00:06:21,00:01:45,00:08:06
C10,00:06:26,00:01:45,00:08:11
C1,00:06:26,00:01:44,00:08:10
C2,00:06:26,00:01:44,00:08:10
C3,00:06:27,00:01:44,00:08:11
C4,00:06:27,00:01:44,00:08:11
C5,00:06:24,00:01:44,00:08:08
C6,00:06:26,00:01:44,00:08:10
C7,00:06:22,00:01:44,00:08:06
C8,00:06:25,00:01:44,00:08:09
C9,00:06:21,00:01:44,00:08:05
C10,00:06:22,00:01:44,00:08:06
C1,00:06:26,00:01:45,00:08:11
C2,00:06:26,00:01:45,00:08:11
C3,00:06:27,00:01:45,00:08:12
C4,00:06:26,00:01:45,00:08:11
C5,00:06:24,00:01:45,00:08:09
C6,00:06:26,00:01:45,00:08:11
C7,00:06:22,00:01:45,00:08:07
C8,00:06:25,00:01:45,00:08:10
C9,00:06:26,00:01:45,00:08:11
C10,00:06:22,00:01:45,00:08:07
C1,00:06:26,00:01:45,00:08:11
C2,00:06:26,00:01:45,00:08:11
C3,00:06:27,00:01:45,00:08:12
C4,00:06:27,00:01:45,00:08:12
C5,00:06:24,00:01:45,00:08:09
C6,00:06:26,00:01:45,00:08:11
C7,00:06:22,00:01:45,00:08:07
C8,00:06:21,00:01:45,00:08:06
C9,00:06:21,00:01:45,00:08:06
C10,00:06:22,00:01:45,00:08:07
C1,00:06:26,00:01:45,00:08:11
C2,00:06:26,00:01:45,00:08:11
C3,00:06:26,00:01:45,00:08:11
C4,00:06:27,00:01:45,00:08:12
C5,00:06:24,00:01:45,00:08:09
C6,00:06:26,00:01:45,00:08:11
C7,00:06:26,00:01:45,00:08:11
C8,00:06:25,00:01:45,00:08:10
C9,00:06:21,00:01:45,00:08:06
C10,00:06:22,00:01:45,00:08:07
C1,00:06:26,00:01:45,00:08:11
C2,00:06:26,00:01:45,00:08:11
C3,00:06:27,00:01:45,00:08:12
C4,00:06:26,00:01:45,00:08:11
C5,00:06:24,00:01:45,00:08:09
C6,00:06:26,00:01:45,00:08:11
C7,00:06:21,00:01:45,00:08:06
C8,00:06:25,00:01:45,00:08:10
C9,00:06:21,00:01:45,00:08:06
C10,00:06:22,00:01:45,00:08:07
C1,00:06:26,00:01:45,00:08:11
C2,00:06:26,00:01:45,00:08:11
C3,00:06:27,00:01:45,00:08:12
C4,00:06:27,00:01:45,00:08:12
C5,00:06:24,00:01:45,00:08:09
C6,00:06:26,00:01:45,00:08:11
C7,00:06:22,00:01:45,00:08:07
C8,00:06:25,00:01:45,00:08:10
C9,00:06:21,00:01:45,00:08:06
C10,00:06:22,00:01:45,00:08:07
C1,00:06:26,00:01:46,00:08:12
C2,00:06:21,00:01:46,00:08:07
C3,00:06:27,00:01:46,00:08:13
C4,00:06:27,00:01:46,00:08:13
C5,00:06:24,00:01:46,00:08:10
C6,00:06:26,00:01:46,00:08:12
C7,00:06:22,00:01:46,00:08:08
C8,00:06:25,00:01:46,00:08:11
C9,00:06:21,00:01:46,00:08:07
C10,00:06:22,00:01:46,00:08:08
